publication_id	journal_name	year	volume	issue	pages	title	medline_id	pubmed_id	authors
3022	Anal. Biochem.	1996	242	2	261-5	Detecting immobilized protein kinase C isozymes with RNA aptamers		8937571	Richard Conrad, Andrew D. Ellington
3023	Biochemistry	2002	41	8	2492-9	Flavin recognition by an RNA aptamer targeted toward FAD.		11851395	Manami Roychowdhury-Saha, Susan M. Lato, Eric D. Shank, Donald H. Burke
3024	Bioorg. Med. Chem.	2004	12	5	1111-20	Sialyllactose-binding modified DNA aptamer bearing additional functionality by SELEX.		14980623	Mohammad M. Masud, Masayasu Kuwahara, Hiroaki Ozaki, Hiroaki Sawai
3025	BMC Evol. Biol.	2003	3	1	26	The tyranny of adenosine recognition among RNA aptamers to coenzyme A.		14687414	Dayal Saran, Joseph Frank, Donald H. Burke
3026	Journal of Molecular Biology	1997	27	1	100-11	Inhibition of multiple thermostable DNA polymerases by a heterodimeric aptamer.		9300057	Yun Lin, Sumedha Jayasena
3027	Biochemical and Biophysical Research Communications	2001	281	1	237-43	In vitro selection of the RNA aptamer against the Sialyl Lewis X and its inhibition of the cell adhesion.		11178986	Sunjoo Jeong, Tae-Yeon Eom, Se-Jin Kim, Seong-Wook Lee, Jaehoon Yut
3028	PNAS	1996	93	7	2755-8	Protein synthesis editing by a DNA aptamer.		8610114	Stephen P. Hale, Paul Schimmel
3029	Nucleic Acids Research	1996	24	6	2755-8	RNA aptamers that bind L-arginine with sub-micromolar dissociation constants and high enantioselectivity		8604334	Albert Geiger, Petra Burgstaller, Herbert von, Albert Roeder, Michael Famulok
3030	Biochem. Biophys. Res. Commun.	2004	313	4	1004-8	In vitro evolution of RNA aptamers recognizing carcinogenic aromatic amines		14706642	Ulrike Brockstedt, Anna Uzarowska, Alexandre Montpetit, Wolfgang Pfau, Damian Labuda
3031	Biochemistry	2003	42	29	8842-8851	A novel, modification-dependent ATP-binding aptamer selected from an RNA library incorporating a cationic functionality.		12873145	Narendra K. Vaish, Rosa Larralde, Andrew W. Fraley, Jack W. Szostak, Larry W. McLaughlin
3032	Journal of Molecular Recognition	2003	16	1	23-27	RNA aptamers specific for bovine thrombin		12557236	Xuemei Liu, Dajin Zhang, Cao Guojun, Guang Yang, Hongmei Ding, Gang Liu, Ming Fan, Beifen Shen, Nihgsheng Shao
3033	Biochemistry	2002	41	20	9696-706	Combinatorial selection and binding of phosphorothioate aptamers targeting human NF-kappa B RelA(p65) and p50.		12135392	David J. King, Suzanne E. Bassett, Xin Li, Susan A. Fennewald, Norbert K. Herzog, Bruce A. Luxon, Robert Shope, David G. Gorenstein
3034	Anal. Biochem.	0	305	2	214-26	Generation of RNA aptamers to the G-protein-coupled receptor for neurotensin, NTS-1.		12054450	Dion A. Daniels, Anwinder K. Sohal, Stephen Rees, Reinhard Grisshammer
3035	PNAS	2003	0	0	NA	Inhibition of heregulin signaling by an aptamer that preferentially binds to the oligomeric form of human epidermal growth factor receptor-3.		12874383	Chi-hong Chen, George A. Chernis, Van Q. Hoang, Ralf Landgraf
3036	Chem. Biol.	2002	9	8	907-13	Nucleic acid evolution and minimization by nonhomologous random recombination.		12219078	Momchilo Vuyisich, Peter A. Beal
3037	J. Biotechnol.	2003	102	1	15-22	Single-stranded DNA aptamers that bind differentiated but not parental cells: subtractive systematic evolution of ligands by exponential enrichment.		12668310	Chenglong Wang, Ming Zhang, Guang Yang, Dajing Zhang, Hongmei Ding, Huixing Wang, Ming Fan, Beifen Shen, Nigsheng Shao
